launch_idx,elapsed_secs,launch_secs,grid,placed_min,placed_med,placed_max,nodes,nodes_per_sec,best_placed
0,0.010,0.006,4096,20,22,38,92588032,15500400702.0,5
1,0.025,0.006,4096,20,22,47,92467200,14794155499.7,38
2,0.041,0.006,4096,20,20,48,91915264,14333666014.6,47
3,0.058,0.011,4096,20,35,75,130388992,11896830805.4,48
4,0.078,0.012,4096,7,18,69,85790720,7390596782.9,75
5,0.086,0.008,4096,9,12,61,50895872,6564808688.0,75
6,0.096,0.010,4096,20,35,67,133385216,13318006542.7,75
7,0.106,0.009,4096,8,10,39,48811008,5473242720.0,75
8,0.121,0.015,4096,25,38,76,158464000,10627295740.7,75
9,0.144,0.006,4096,20,22,40,92659712,15546042080.5,76
10,0.150,0.005,4096,20,22,40,92401664,16972873464.9,76
11,0.156,0.006,4096,20,20,42,91430912,15762224653.0,76
12,0.169,0.013,4096,20,35,77,131980288,10226051813.5,76
13,0.193,0.014,4096,7,18,91,84441088,5968277079.4,77
14,0.214,0.012,4096,9,12,73,50885632,4204047914.6,91
15,0.224,0.010,4096,20,35,77,130215936,13354780687.9,91
16,0.230,0.005,4096,8,10,42,49614848,10659713571.6,91
17,0.245,0.015,4096,15,35,70,144610304,9914519348.0,91
18,0.251,0.005,4096,20,22,48,92904448,17810998503.1,91
19,0.257,0.005,4096,20,22,47,92400640,17161178192.2,91
20,0.262,0.005,4096,20,20,38,91456512,20285807001.6,91
21,0.275,0.013,4096,20,35,77,132225024,10549573772.6,91
22,0.286,0.011,4096,7,18,80,84925440,8008799684.9,91
23,0.292,0.006,4096,9,12,61,50830336,7979290088.1,91
24,0.303,0.010,4096,20,35,77,132222976,12856175575.1,91
25,0.311,0.007,4096,8,10,42,49192960,6873824767.6,91
26,0.326,0.015,4096,18,63,92,230111232,15534915567.0,91
27,0.340,0.007,4096,20,22,38,92655616,13437528561.2,92
28,0.347,0.006,4096,20,22,48,92535808,14264587874.4,92
29,0.353,0.005,4096,20,20,38,91544576,19149549796.8,92
30,0.362,0.009,4096,20,35,77,130935808,14327352068.7,92
31,0.375,0.013,4096,7,18,72,83877888,6619506206.2,92
32,0.383,0.007,4096,9,12,66,51026944,7016391260.6,92
33,0.392,0.009,4096,20,35,73,130569216,14732048304.1,92
34,0.398,0.005,4096,8,10,47,49232896,9433857373.8,92
35,0.417,0.019,4096,15,61,94,246158336,13246486678.8,92
36,0.428,0.005,4096,20,22,38,92773376,20169515160.1,94
37,0.432,0.004,4096,20,22,36,92387328,22409363159.3,94
38,0.439,0.006,4096,20,20,48,91656192,16088848679.7,94
39,0.452,0.013,4096,20,35,77,133379072,10391050079.1,94
40,0.464,0.012,4096,7,18,97,85054464,7148687673.2,94
41,0.483,0.011,4096,9,12,68,51191808,4605679747.9,97
42,0.492,0.008,4096,20,35,67,131858432,16060195879.2,97
43,0.498,0.006,4096,8,10,52,49156096,8368791327.0,97
44,0.519,0.020,4096,18,61,101,270360576,13305054133.2,97
45,0.530,0.004,4096,20,22,38,92604416,21378371983.0,101
46,0.536,0.005,4096,20,22,47,92167168,18189113785.8,101
47,0.540,0.004,4096,20,20,38,91943936,20711610935.7,101
48,0.555,0.014,4096,20,35,79,133368832,9642608135.4,101
49,0.566,0.011,4096,7,18,86,85007360,7861601915.2,101
50,0.574,0.007,4096,9,12,66,50630656,7389626779.8,101
51,0.587,0.013,4096,20,35,77,132002816,10367119027.3,101
52,0.592,0.005,4096,8,10,39,48993280,10832436586.7,101
53,0.605,0.013,4096,30,38,76,200081408,15661124701.6,101
54,0.610,0.004,4096,20,22,38,92669952,20825784703.5,101
55,0.618,0.008,4096,20,22,38,92099584,11618038543.3,101
56,0.624,0.005,4096,20,20,46,91566080,17817615462.4,101
57,0.632,0.008,4096,20,35,66,132431872,16219185544.6,101
58,0.643,0.010,4096,7,18,77,85386240,8352485519.2,101
59,0.654,0.010,4096,9,12,60,50661376,5018534790.1,101
60,0.662,0.008,4096,20,35,69,132023296,15749769819.6,101
61,0.668,0.005,4096,8,10,49,49424384,9265010535.2,101
62,0.688,0.020,4096,35,40,100,174354432,8794251374.0,101
63,0.693,0.004,4096,20,22,38,92665856,21921171566.0,101
64,0.698,0.005,4096,20,22,42,92689408,18961744859.9,101
65,0.703,0.004,4096,20,22,38,92553216,21456416010.5,101
66,0.708,0.005,4096,20,20,44,91475968,19092755265.7,101
67,0.720,0.012,4096,20,35,66,132920320,11421477275.0,101
68,0.732,0.011,4096,7,18,78,85257216,7643633320.6,101
